Siruta,localitate,Procent participare
142122,Mirsid,42.49866524292579
32153,Tamaseu,42.46171967020024
86461,Ciceu,42.45446660884649
128659,Schitu,42.43421052631579
52696,Dognecea,42.42795830778663
81497,Rosia De Amaradia,42.42671009771987
39959,Dimacheni,42.40940254652302
11762,Plescuta,42.38900634249472
136553,Capleni,42.38884702336097
26083,Valea Seaca,42.37230030853617
127750,Obarsia,42.369477911646584
90663,Rapoltu Mare,42.368587713742876
70637,Amarastii De Jos,42.368045649072755
81380,Polovragi,42.36234458259325
53210,Marga,42.3463687150838
85127,Mugeni,42.32093663911846
50068,Valea Salciei,42.29390681003584
171628,Nicolae Balcescu,42.29234675371781
93325,Dichiseni,42.291666666666664
133615,Gornet-Cricov,42.29050279329609
173230,Stoenesti,42.285714285714285
127625,Morunglav,42.281879194630875
53513,Pojejena,42.26588628762542
28530,Chislaz,42.254082039028276
23207,Lipova,42.24480777728679
73503,Orodel,42.21453287197232
45361,Boldu,42.21218961625282
136768,Andrid,42.20779220779221
137363,Cehal,42.18629715165512
84175,Corund,42.179616548940466
73629,Pielesti,42.16903073286052
110232,Oras Vanju Mare,42.15911463771142
89428,Dobra,42.15573456079785
80560,Ionesti,42.118997912317326
154380,Smardioasa,42.085152838427945
130286,Balteni,42.073628850488355
159366,Birda,42.06773618538325
139937,Agrij,42.06642066420664
74956,Talpas,42.06268958543984
143557,Selimbar,42.05028328611898
150178,Sadova,42.044911610129
56988,Chinteni,42.04182913860333
121153,Bahna,42.03350214257888
151497,Cosna,42.027800490596896
170168,Glavile,41.99475065616798
169994,Galicea,41.99424736337488
115600,Bala,41.99288256227758
167035,Vutcani,41.97530864197531
130348,Ipotesti,41.97019867549669
160528,Horia,41.9698314108252
180019,Sarateni,41.9661733615222
155118,Fantanele,41.95583596214511
72463,Gighera,41.95274186357557
5210,Lopadea Noua,41.951664386684904
170220,Golesti,41.947565543071164
27212,Auseu,41.936878512754
49153,Sahateni,41.93425076452599
145907,Tilisca,41.927083333333336
54500,Varadia,41.92100538599641
129139,Strejesti,41.920189648360335
172509,Racovita,41.90114068441065
82555,Turburea,41.8584579976985
179720,Poiana Ilvei,41.854838709677416
152270,Bujoreni,41.832669322709165
179999,Moldoveni,41.809851088201604
74750,Varvoru De Jos,41.793238608525236
40688,Budila,41.79152056104559
101742,Cernica,41.76113592121837
53372,Obreja,41.74972314507198
86311,Varsag,41.749049429657795
125999,Brebeni,41.722745625841185
13999,Aninoasa,41.71102661596958
41346,Lisa,41.689750692520775
84754,Lunca De Sus,41.68231318062336
4703,Hoparta,41.676104190260475
146325,Mitocu Dragomirnei,41.66259168704156
108918,Salsig,41.64705882352941
64238,Chichis,41.62120031176929
164197,Hoceni,41.617933723196884
79585,Catunele,41.612301957129546
80249,Dragotesti,41.58125915080527
57831,Geaca,41.57676348547718
120174,Vetca,41.54929577464789
46867,Glodeanu Sarat,41.5327564894932
149138,Iacobeni,41.53225806451613
6397,Ponor,41.495327102803735
111480,Devesel,41.48580968280467
75542,Balabanesti,41.47286821705426
155127,Frasinet,41.46955208857574
133562,Gornet,41.467576791808874
164062,Garceni,41.46620847651776
175126,Andreiasu De Jos,41.46341463414634
52035,Ciudanovita,41.46341463414634
125141,Pancesti,41.43835616438356
5577,Metes,41.42672969488612
176891,Naruja,41.40625
170612,Lalosu,41.40161725067385
102160,Corbeanca,41.3839687781447
39792,Vlasinesti,41.38218151540383
179766,Isvoarele,41.37096774193548
85760,Sandominic,41.313190005810576
102035,Clinceni,41.3084432265799
101145,Berceni,41.30088367376503
30336,Pietroasa,41.29828753484667
66401,Bilciuresti,41.29119031607263
85788,Sanmartin,41.270718232044196
35429,Zagra,41.26807563959955
85289,Plaiesii De Jos,41.26753749395259
101822,Chiselet,41.258462763839105
