Siruta,Localitate,Categorie dominanta
25861,Traian,Barbati_45-64
25932,Ungureni,Barbati_45-64
26029,Urechesti,Barbati_45-64
26083,Valea Seaca,Barbati_45-64
26118,Vultureni,Barbati_45-64
26289,Zemes,Barbati_45-64
26320,Sarata,Barbati_45-64
26338,Buciumi,Barbati_45-64
26346,Gioseni,Barbati_45-64
26353,Odobesti,Barbati_45-64
26361,Prajesti,Barbati_45-64
26379,Itesti,Barbati_45-64
26564,Municipiul Oradea,Femei_45-64
26582,Sanmartin,Barbati_45-64
26653,Santandrei,Barbati_45-64
26699,Oras Alesd,Barbati_45-64
26742,Astileu,Barbati_45-64
26804,Municipiul Beius,Femei_45-64
26840,Oras Stei,Barbati_45-64
26877,Municipiul Marghita,Femei_45-64
26920,Oras Nucet,Barbati_45-64
26975,Municipiul Salonta,Femei_45-64
27007,Oras Vascau,Femei_45-64
27070,Abram,Barbati_45-64
27169,Abramut,Femei_45-64
27212,Auseu,Barbati_45-64
27285,Avram Iancu,Barbati_45-64
27329,Balc,Barbati_45-64
27383,Batar,Barbati_45-64
27436,Biharia,Femei_45-64
27506,Boianu Mare,Barbati_45-64
27560,Borod,Barbati_45-64
27631,Bors,Barbati_45-64
27686,Bratca,Barbati_45-64
27757,Brusturi,Barbati_45-64
27846,Budureasa,Barbati_45-64
27908,Buduslau,Barbati_45-64
27935,Bulz,Barbati_45-64
27971,Buntesti,Barbati_45-64
28077,Cabesti,Barbati_45-64
28139,Capalna,Femei_65_
28193,Carpinet,Barbati_45-64
28246,Cefa,Barbati_45-64
28335,Ceica,Barbati_45-64
28415,Cetariu,Femei_45-64
28497,Cherechiu,Barbati_45-64
28530,Chislaz,Barbati_45-64
28610,Ciuhoi,Barbati_45-64
28665,Ciumeghiu,Barbati_45-64
28709,Campani,Femei_45-64
28763,Cociuba Mare,Barbati_45-64
28816,Copacel,Barbati_45-64
28889,Cristioru De Jos,Barbati_45-64
28941,Curatele,Barbati_45-64
29001,Curtuiseni,Barbati_45-64
