Siruta,Localitate,PlantePermanente,PlanteNepermanente,PlanteInmultire,CrestereaAnimalelor,FermeMixte,ActivitatiAuxiliare
90663,Rapoltu Mare,0.0,0.0,0.0,70555.0,0.0,0.0
107047,Arinis,0.0,0.0,0.0,0.0,109845.0,45600.0
131620,Oras Urlati,1.6760585E7,4854838.0,0.0,182148.0,0.0,0.0
172581,Roesti,0.0,0.0,0.0,0.0,0.0,0.0
164393,Ivanesti,0.0,0.0,0.0,55531.0,0.0,0.0
57902,Gilau,0.0,0.0,0.0,1.5720802E7,0.0,17126.0
16944,Lunca Corbului,3198423.0,0.0,0.0,0.0,0.0,216029.0
156213,Carpinis,1.8147296E7,0.0,0.0,372006.0,3673974.0,1050053.0
33337,Ilva Mare,0.0,0.0,0.0,0.0,0.0,0.0
25148,Sanduleni,0.0,0.0,0.0,0.0,0.0,0.0
41541,Ormenis,0.0,0.0,0.0,0.0,0.0,0.0
107083,Asuaju De Sus,0.0,0.0,0.0,0.0,0.0,0.0
74322,Teasc,401058.0,0.0,0.0,0.0,0.0,0.0
33364,Ilva Mica,0.0,0.0,0.0,0.0,0.0,0.0
123479,Piatra Soimului,0.0,103772.0,0.0,0.0,710843.0,0.0
57948,Garbau,0.0,0.0,0.0,0.0,0.0,41765.0
156259,Cenad,6699325.0,0.0,0.0,0.0,5613410.0,1313286.0
90725,Rachitova,0.0,0.0,0.0,0.0,0.0,0.0
98916,Scanteia,6014926.0,0.0,0.0,0.0,0.0,0.0
33382,Josenii Bargaului,0.0,0.0,0.0,0.0,0.0,0.0
49769,Topliceni,0.0,4167.0,0.0,0.0,0.0,0.0
66152,Branistea,2426040.0,0.0,0.0,1614553.0,0.0,293140.0
41578,Parau,0.0,0.0,0.0,31472.0,146583.0,0.0
115307,Bahnea,91137.0,0.0,0.0,0.0,1135759.0,0.0
139884,Oras Simleu Silvaniei,1.4736972E7,866403.0,0.0,86743.0,381.0,0.0
107118,Baita De Sub Codru,0.0,0.0,0.0,0.0,0.0,0.0
74359,Terpezita,9136498.0,0.0,0.0,51875.0,0.0,0.0
156277,Cenei,7879808.0,0.0,0.0,1295325.0,0.0,0.0
8826,Vintu De Jos,579665.0,45243.0,0.0,341626.0,20984.0,6209994.0
82555,Turburea,0.0,0.0,0.0,0.0,0.0,0.0
