Siruta,Localitate,Judet,Populatie
46867,Glodeanu Sarat,bz,4238
46910,Glodeanu-Silistea,bz,3749
47006,Grebanu,bz,5417
47079,Gura Teghii,bz,3472
47159,Largu,bz,1565
47186,Lopatari,bz,3953
47300,Luciu,bz,2855
47337,Magura,bz,2153
47373,Maracineni,bz,8832
47417,Margaritesti,bz,647
47453,Merei,bz,6773
47578,Mihailesti,bz,2117
47630,Manzalesti,bz,2475
47774,Movila Banului,bz,2589
47818,Murgesti,bz,897
47854,Naeni,bz,1780
47916,Oras Nehoiu,bz,11212
48021,Odaile,bz,854
48138,Padina,bz,4107
48165,Pardosi,bz,400
48227,Panatau,bz,2417
48325,Oras Patarlagele,bz,7751
48487,Pietroasele,bz,3296
48557,Parscov,bz,5643
48682,Podgoria,bz,3206
48744,Oras Pogoanele,bz,7553
48771,Posta Calnau,bz,6145
48842,Puiesti,bz,3888
48922,Racoviteni,bz,1315
48968,Ramnicelu,bz,4896
49019,Robeasca,bz,1094
49046,Rusetu,bz,3834
49073,Sageata,bz,4776
49153,Sahateni,bz,3397
49206,Sapoca,bz,3428
49233,Sarulesti,bz,1363
49313,Scortoasa,bz,2823
49439,Scutelnici,bz,2322
49484,Siriu,bz,3233
49545,Smeeni,bz,6636
49625,Stalpu,bz,3128
49643,Tisau,bz,4601
49769,Topliceni,bz,4365
49849,Tintesti,bz,4536
49894,Ulmeni,bz,3156
49956,Vadu Pasii,bz,9714
50022,Valea Ramnicului,bz,5681
50068,Valea Salciei,bz,746
50102,Vernesti,bz,9101
50228,Vintila Voda,bz,2984
50326,Viperesti,bz,3538
50399,Valcelele,bz,1494
50415,Zarnesti,bz,5076
50479,Ziduri,bz,4427
50549,Unguriu,bz,2303
50564,Florica,bz,1351
50790,Municipiul Resita,cs,88613
50889,Oras Anina,cs,9343
50923,Oras Baile Herculane,cs,5167
50969,Oras Bocsa,cs,19160
50987,Ocna De Fier,cs,724
51010,Municipiul Caransebes,cs,30527
51056,Oras Moldova Noua,cs,13560
51118,Oras Oravita,cs,13361
51207,Oras Otelu Rosu,cs,12695
51243,Armenis,cs,2433
51305,Bania,cs,1748
51332,Bautar,cs,2573
51387,Berliste,cs,1258
51449,Berzasca,cs,2772
51500,Berzovia,cs,3940
51546,Bolvasnita,cs,1391
51573,Bozovici,cs,3023
51626,Brebu,cs,1155
51662,Brebu Nou,cs,298
51699,Buchin,cs,2034
51751,Bucosnita,cs,2793
51804,Carasova,cs,2976
51840,Carbunari,cs,983
51877,Constantin Daicoviciu,cs,2789
51948,Ciclova Romana,cs,1605
51984,Ciuchici,cs,1060
52035,Ciudanovita,cs,680
52062,Copacele,cs,1136
52115,Cornea,cs,1767
52160,Cornereva,cs,2966
52570,Dalboset,cs,1676
52650,Doclin,cs,1940
52696,Dognecea,cs,2151
52721,Domasnea,cs,1309
52758,Ezeris,cs,1304
52785,Farliug,cs,1739
52856,Forotic,cs,1784
52909,Garnic,cs,1447
52936,Glimboca,cs,1873
52954,Goruia,cs,791
52990,Gradinari,cs,2058
53023,Iablanita,cs,2144
53069,Lapusnicel,cs,993
53103,Lapusnicu Mare,cs,1695
53130,Luncavita,cs,2441
53167,Lupac,cs,2664
53210,Marga,cs,1095
53247,Maureni,cs,2942
53274,Mehadia,cs,4139
53327,Mehadica,cs,696
53345,Naidas,cs,1083
53372,Obreja,cs,3434
53425,Paltinis,cs,2453
53489,Coronini,cs,1978
53513,Pojejena,cs,2861
53577,Prigor,cs,2483
53639,Ramna,cs,1601
53675,Racasdia,cs,2122
53700,Eftimie Murgu,cs,1604
53728,Rusca Montana,cs,1945
53755,Sacu,cs,1604
53791,Sasca Montana,cs,1498
53853,Sichevita,cs,2134
54056,Slatina-Timis,cs,3019
54109,Socol,cs,2172
54163,Sopotu Nou,cs,1164
54270,Teregova,cs,4063
54305,Ticvaniu Mare,cs,2001
54350,Tarnova,cs,1670
54387,Toplet,cs,2612
54412,Turnu Ruieni,cs,3481
54485,Valiug,cs,769
54500,Varadia,cs,1421
54537,Vermes,cs,1534
54573,Vrani,cs,1169
54617,Zavoi,cs,4143
54699,Zorlentu Mare,cs,868
54975,Municipiul Cluj-Napoca,cj,321916
55008,Municipiul Dej,cj,38986
55062,Cuzdrioara,cj,2993
55106,Jichisu De Jos,cj,1151
55160,Mica,cj,3616
55259,Municipiul Turda,cj,57341
55277,Mihai Viteazu,cj,5795
55311,Sandulesti,cj,2008
55357,Municipiul Campia Turzii,cj,28318
55384,Municipiul Gherla,cj,23245
55446,Oras Huedin,cj,9632
55473,Aghiresu,cj,6789
55598,Aiton,cj,1043
55623,Alunis,cj,1211
55687,Apahida,cj,11927
55776,Aschileu,cj,1602
55838,Baciu,cj,10814
55918,Baisoara,cj,2059
56014,Belis,cj,1327
56096,Bobalna,cj,1496
56210,Bontida,cj,4880
56265,Borsa,cj,1381
56327,Buza,cj,1280
56354,Caianu,cj,2386
56425,Calarasi,cj,2440
56461,Calatele,cj,2458
56522,Camarasu,cj,2779
56568,Capusu Mare,cj,3110
56666,Caseiu,cj,4785
56773,Catina,cj,1872
56844,Ceanu Mare,cj,3927
56988,Chinteni,cj,3147
57083,Chiuiesti,cj,2530
57163,Ciucea,cj,1569
57225,Ciurila,cj,1461
57314,Catcau,cj,2318
57350,Cojocna,cj,4189
57449,Cornesti,cj,1382
57546,Dabaca,cj,1445
57582,Feleacu,cj,3766
57644,Fizesu Gherlii,cj,2677
57706,Floresti,cj,28163
57742,Frata,cj,4085
57831,Geaca,cj,1554
57902,Gilau,cj,8704
57948,Garbau,cj,2318
58008,Iara,cj,4063
58142,Iclod,cj,4362
