Siruta,Localitate,CA_capita
26029,Urechesti,18.92405735528412
83375,Pauleni-Ciuc,136.90582726326744
1455,Oras Campeni,0.0
9654,Oras Pancota,1540.3411272458775
148916,Gramesti,0.0
17851,Pietrosani,0.0
34235,Prundu Bargaului,0.09666924864446166
75203,Municipiul Tecuci,576.8033064392024
99780,Tibanesti,475.8040939193257
107975,Desesti,0.0
67014,Cornesti,10.15639961698053
116171,Coroisanmartin,0.0
42449,Sinca Noua,18.42794486215539
75221,Draganesti,599.1352905569007
34262,Rebra,0.0
42456,Crizbav,19039.051612903226
9690,Oras Sebis,942.3815360744763
165336,Poienesti,10.341056218057922
132574,Cerasu,0.0
173533,Stroesti,0.0
42464,Sambata De Sus,156.62213490504257
140770,Cristolt,0.0
26083,Valea Seaca,234.84581700852732
83428,Oras Baile Tusnad,0.0
34280,Rebrisoara,0.0
42472,Holbav,0.0
58856,Panticeu,0.0
148970,Granicesti,512.9668615984406
91624,Totesti,158.44648478488983
42480,Dragus,3603.140653357532
108017,Oras Dragomiresti,0.0
17913,Poienarii De Arges,0.0
124411,Stefan Cel Mare,5063.317556763671
75258,Munteni,1742.0082188262488
116224,Cozma,0.0
42498,Augustin,0.0
108035,Dumbravita,530.9785268990995
26118,Vultureni,1125.130890052356
83464,Oras Balan,0.0
157193,Ghizela,156.85156912637828
9743,Almas,136.17866666666666
140823,Criseni,3142.64886996397
34333,Rodna,32.494340207784155
173597,Sutesti,9.215568862275449
83491,Oras Borsec,0.0
58918,Petrestii De Jos,504.6859182349124
99879,Tiganasi,4586.419629860678
132645,Chiojdeanca,1002.6662476429918
91688,Turdas,211.36892278360344
165416,Pogana,1651.3234501347708
17968,Poienarii De Muscel,0.0
67121,Costestii Din Vale,351.0031029619182
34360,Romuli,150.9777530589544
149049,Horodniceni,70.74064026044492
157246,Giarmata,2861.6254500138466
116288,Craciunesti,250.55453501722158
83525,Oras Cristuru Secuiesc,644.1351726691973
9798,Apateu,0.0
140869,Cuzaplac,0.0
75338,Oras Beresti,326.8172737955347
108106,Farcasa,1.3719387755102042
132681,Ciorani,3.6772330025181454
124493,Tarcau,0.0
91731,General Berthelot,0.0
99922,Tutora,16.387366465397122
157273,Giera,60415.28923920493
165470,Puiesti,37.73137333870318
34397,Salva,67.2253620628753
75356,Beresti-Meria,213.86401456058243
67167,Crangurile,428.3799709724238
50790,Municipiul Resita,130.6543509417354
9832,Archis,0.0
83561,Municipiul Gheorgheni,798.610653487095
18028,Poiana Lacului,68.63008442056793
58990,Ploscos,98.61304347826086
132716,Cocorastii Mislii,1.8940514945250073
149101,Horodnic De Jos,0.0
173686,Sirineasa,0.0
116340,Craiesti,42927.34840132304
34422,Silivasu De Campie,0.0
108151,Giulesti,0.0
99968,Valea Seaca,314.1502590673575
157317,Giulvaz,7683.983835871931
149138,Iacobeni,0.0
91795,Vata De Jos,0.0
124563,Tasca,63.11975591151793
132752,Colceag,331.2551724137931
140958,Dobrin,720.6374478234943
9887,Bata,559.5061378659112
1696,Oras Cugir,5.327181709503885
59041,Poieni,31.41072842438638
100004,Victoria,2568.4788266431406
116395,Cucerdea,493.95544554455444
34477,Sanmihaiu De Campie,1650.0457746478874
108204,Ieud,19.77979981801638
157362,Jamu Mare,5473.411421155094
26289,Zemes,0.0
83632,Municipiul Toplita,11.678843037027802
173748,Stefanesti,199.74188609920392
67256,Darmanesti,108.39218494271685
42682,Municipiul Braila,2974.7504686780667
149183,Izvoarele Sucevei,0.0
108222,Lapus,0.0
132805,Cornu,0.0
50889,Oras Anina,0.0
124616,Tazlau,45.60597439544808
9930,Beliu,0.19834710743801653
26320,Sarata,640.3123595505618
75472,Oras Targu Bujor,721.9665990534145
