Siruta,Localitate,CA_Totala
58918,Petrestii De Jos,777721.0
99879,Tiganasi,22056092.0
132645,Chiojdeanca,1595242.0
91688,Turdas,443452.0
165416,Pogana,5513769.0
17968,Poienarii De Muscel,0.0
67121,Costestii Din Vale,1244306.0
34360,Romuli,271458.0
149049,Horodniceni,260750.0
157246,Giarmata,20666659.0
116288,Craciunesti,1091165.0
83525,Oras Cristuru Secuiesc,6957304.0
9798,Apateu,0.0
140869,Cuzaplac,0.0
75338,Oras Beresti,1112486.0
108106,Farcasa,5378.0
132681,Ciorani,24825.0
124493,Tarcau,0.0
91731,General Berthelot,0.0
99922,Tutora,35282.0
157273,Giera,88145907.0
165470,Puiesti,187374.0
34397,Salva,190315.0
75356,Beresti-Meria,822521.0
67167,Crangurile,1475769.0
50790,Municipiul Resita,11577674.0
9832,Archis,0.0
83561,Municipiul Gheorgheni,15996970.0
18028,Poiana Lacului,447125.0
58990,Ploscos,68043.0
132716,Cocorastii Mislii,6400.0
149101,Horodnic De Jos,0.0
173686,Sirineasa,0.0
116340,Craiesti,38935105.0
34422,Silivasu De Campie,0.0
108151,Giulesti,0.0
99968,Valea Seaca,1940192.0
157317,Giulvaz,24719376.0
149138,Iacobeni,0.0
91795,Vata De Jos,0.0
124563,Tasca,165500.0
132752,Colceag,1585056.0
140958,Dobrin,1208509.0
9887,Bata,592517.0
1696,Oras Cugir,142598.0
59041,Poieni,158687.0
100004,Victoria,11645483.0
116395,Cucerdea,698453.0
34477,Sanmihaiu De Campie,2343065.0
108204,Ieud,86952.0
157362,Jamu Mare,16869054.0
26289,Zemes,0.0
83632,Municipiul Toplita,187352.0
173748,Stefanesti,652357.0
67256,Darmanesti,529821.0
42682,Municipiul Braila,626776949.0
149183,Izvoarele Sucevei,0.0
108222,Lapus,0.0
132805,Cornu,0.0
50889,Oras Anina,0.0
124616,Tazlau,128244.0
9930,Beliu,600.0
26320,Sarata,1424695.0
75472,Oras Targu Bujor,5338943.0
108240,Leordina,0.0
42708,Chiscani,52995684.0
116439,Cuci,1261753.0
124634,Tamaseni,2022606.0
67292,Dobra,5961277.0
141027,Dragu,0.0
26338,Buciumi,0.0
173793,Susani,0.0
149227,Oras Liteni,353071.0
165611,Pungesti,162967.0
26346,Gioseni,0.0
50923,Oras Baile Herculane,0.0
132841,Cosminele,0.0
108268,Miresu Mare,5319155.0
26353,Odobesti,0.0
18162,Popesti,2016442.0
157424,Jebel,1727409.0
34547,Spermezeu,494753.0
124661,Timisesti,2610053.0
100086,Vanatori,1484504.0
26361,Prajesti,0.0
59130,Recea-Cristur,229379.0
75515,Barcea,550419.0
67327,Dragodana,8736797.0
42753,Oras Faurei,1477104.0
1794,Oras Ocna Mures,1188164.0
157451,Lenauheim,28150914.0
26379,Itesti,4617727.0
116493,Danes,1569950.0
42771,Surdila-Greci,31743574.0
10006,Birchis,1283613.0
75542,Balabanesti,1091038.0
50969,Oras Bocsa,78631739.0
141081,Fildu De Jos,0.0
173855,Tetoiu,0.0
91937,Valisoara,0.0
132896,Drajna,0.0
83749,Oras Vlahita,500.0
149290,Marginea,384515.0
50987,Ocna De Fier,0.0
124723,Trifesti,13103644.0
100148,Vladeni,16427023.0
34618,Sant,0.0
157497,Liebling,14941960.0
108348,Moisei,0.0
116545,Deda,0.0
18242,Priboieni,0.0
51010,Municipiul Caransebes,4306101.0
10051,Barsa,25410.0
149316,Malini,0.0
42824,Baraganul,16012008.0
83785,Atid,233012.0
141134,Galgau,45605.0
67407,Dragomiresti,0.0
91982,Vetel,141089102.0
108366,Oarta De Jos,6830330.0
124750,Tupilati,194219.0
1874,Municipiul Sebes,8567695.0
34645,Sieu,19208.0
165719,Rebricea,0.0
157530,Lovrin,10908953.0
42842,Bertestii De Jos,6446222.0
75613,Balasesti,35374.0
59238,Risca,197371.0
173935,Tomsani,0.0
116590,Eremitu,7264.0
51056,Oras Moldova Noua,2737066.0
108400,Ocna Sugatag,0.0
10104,Barzava,295227.0
149370,Manastirea Humorului,0.0
100219,Voinesti,2166917.0
34690,Sieu-Magherus,789242.0
124803,Tibucani,0.0
83847,Avramesti,404541.0
67470,Finta,2446022.0
1936,Oras Zlatna,738186.0
59283,Sacuieu,30478.0
157585,Margina,248803.0
75668,Baleni,0.0
133018,Draganesti,9229059.0
18331,Ratesti,1103301.0
42913,Bordei Verde,8273548.0
149414,Moara,6080082.0
108455,Petrova,0.0
75686,Baneasa,0.0
116652,Ernei,1796773.0
51118,Oras Oravita,27953899.0
100273,Bals,487195.0
124849,Urecheni,273281.0
141232,Garbou,0.0
108473,Poienile De Sub Munte,0.0
100282,Costesti,0.0
165817,Rosiesti,55048584.0
75711,Branistea,0.0
59327,Savadisla,80000.0
92097,Vorta,0.0
67522,Glodeni,0.0
26564,Municipiul Oradea,98751709.0
174021,Vaideeni,42827.0
108491,Remetea Chioarului,0.0
34770,Sieu-Odorhei,0.0
10195,Bocsig,1688699.0
124885,Valea Ursului,0.0
100308,Draguseni,0.0
26582,Sanmartin,101458457.0
42968,Ciocile,4804113.0
100317,Fantanele,290244.0
133090,Dumbrava,3639541.0
83936,Bilbor,0.0
100326,Harmanesti,10289.0
